1,1,188,1
2,2,218,1
3,3,222,2
4,4,13,1
5,5,79,1
6,6,14,1
7,7,13,1
8,8,205,1
9,9,248,3
10,10,21,4
11,11,248,2
12,12,3,1
13,13,64,1
14,14,10,1
15,15,204,1
16,16,24,1
17,17,54,1
18,18,113,2
19,19,27,1
20,20,90,3
21,21,6,1
22,22,216,1
23,23,61,1
24,24,119,1
25,25,217,1
26,26,199,3
27,27,17,1
28,28,140,1
29,29,187,1
30,30,11,1
31,31,187,1
32,32,6,5
33,33,7,1
34,34,20,1
35,35,77,1
36,36,225,1
37,37,3,1
38,38,219,1
39,39,137,4
40,40,233,1
41,41,11,1
42,42,64,3
43,43,184,1
44,44,13,1
45,45,204,1
46,46,16,1
47,47,4,1
48,48,68,1
49,49,19,3
50,50,117,1
51,51,221,1
52,52,4,5
53,53,74,4
54,54,148,1
55,55,54,1
56,56,209,1
57,57,3,1
58,58,192,1
59,59,187,4
60,60,78,1
61,61,246,1
62,62,186,1
63,63,204,1
64,64,213,1
65,65,62,1
66,66,215,1
67,67,233,1
68,68,206,1
69,69,18,5
70,70,228,1
71,71,5,1
72,72,201,2
73,73,209,1
74,74,208,1
75,75,4,1
76,76,200,4
77,77,191,1
78,78,235,1
79,79,227,1
80,80,208,1
81,81,1,1
82,82,22,3
83,83,9,4
84,84,7,1
85,85,4,1
86,86,3,1
87,87,10,1
88,88,7,1
89,89,15,1
90,90,253,1
91,91,72,1
92,92,224,1
93,93,233,1
94,94,2,1
95,95,13,1
96,96,218,1
97,97,251,1
98,98,138,1
99,99,12,1
100,100,72,1
101,101,22,1
102,102,2,1
103,103,3,4
104,104,104,1
105,105,28,1
106,106,62,1
107,107,7,1
108,108,253,3
109,109,14,1
110,110,250,1
111,111,54,4
112,112,15,4
113,113,2,1
114,114,233,1
115,115,7,3
116,116,11,1
117,117,86,1
118,118,219,1
119,119,226,1
120,120,3,1
121,121,217,1
122,122,7,1
123,123,8,5
124,124,228,1
125,125,255,1
126,126,97,1
127,127,15,1
128,128,5,1
129,129,56,1
130,130,255,1
131,131,16,1
132,132,66,1
133,133,67,3
134,134,198,1
135,135,22,1
136,136,8,1
137,137,203,2
138,138,9,3
139,139,6,3
140,140,71,1
141,141,202,1
142,142,229,2
143,143,19,1
144,144,196,1
145,145,9,1
146,146,76,1
147,147,8,1
148,148,21,1
149,149,57,1
150,150,207,1
151,151,69,1
152,152,73,1
153,153,214,1
154,154,11,1
155,155,19,1
156,156,77,1
157,157,222,1
158,158,9,1
159,159,255,1
160,160,25,2
161,161,193,1
162,162,72,1
163,163,57,1
164,164,187,4
165,165,24,1
166,166,200,1
167,167,200,1
168,168,221,1
169,169,213,1
