1,780,7,,,250,2021-02-14 11:50:00,108.70
2,255,8,,,92,2021-01-26 06:20:00,127.30
3,650,4,,,40,2021-02-18 12:10:00,1820.20
4,391,3,289,,,2021-02-04 10:30:00,179.80
5,933,5,,,116,2021-11-17 04:20:00,31.40
6,301,8,,,56,2021-08-15 08:30:00,89.90
7,557,8,,,87,2021-06-03 02:30:00,148.20
8,531,7,,,234,2021-12-13 06:50:00,41.20
9,411,2,836,722,,2021-10-05 07:30:00,53.60
10,741,6,,,,2021-02-28 06:00:00,31.90
11,151,2,993,100,,2021-10-24 05:10:00,91.90
12,909,6,,,,2021-06-16 03:10:00,48.60
13,744,2,181,347,,2021-04-28 08:20:00,67.80
14,131,4,,,27,2021-09-16 12:30:00,1421.80
15,798,7,,,216,2021-05-14 02:30:00,87.10
16,702,4,,,3,2021-05-27 08:30:00,1592.10
17,458,7,,,241,2021-09-10 11:10:00,46.80
18,492,5,,,143,2021-01-14 03:10:00,33.90
19,83,1,,740,,2021-02-21 05:40:00,21.40
20,462,8,,,92,2021-04-17 08:00:00,163.10
21,790,6,,,106,2021-05-25 07:40:00,31.30
22,365,3,778,,,2021-05-09 01:00:00,120.80
23,932,5,,,142,2021-03-12 10:40:00,32.80
24,91,5,,,147,2021-04-22 07:20:00,15.40
25,206,2,455,506,,2021-02-22 09:30:00,74.20
26,636,6,,,131,2021-05-28 02:30:00,37.80
27,163,2,896,879,,2021-02-11 02:40:00,77.40
28,668,7,,,206,2021-07-02 06:00:00,102.60
29,794,7,,,217,2021-01-28 02:20:00,113.70
30,873,4,,,27,2021-09-03 10:20:00,1661.40
31,7,1,,552,,2021-08-02 10:40:00,19.50
32,107,5,,,109,2021-05-17 07:20:00,52.20
33,476,7,,,225,2021-02-24 05:00:00,73.00
34,500,1,,210,,2021-05-03 04:40:00,23.90
35,892,8,,,68,2021-12-25 07:30:00,74.60
36,184,4,,,36,2021-02-28 02:50:00,1286.50
37,397,2,73,598,,2021-05-28 01:10:00,57.20
38,504,3,522,,,2021-04-24 11:40:00,126.10
39,952,5,,,101,2021-09-03 10:40:00,48.40
40,890,2,766,38,,2021-10-14 05:50:00,57.60
41,940,1,,540,,2021-03-10 03:10:00,23.10
42,776,4,,,18,2021-11-23 04:50:00,685.60
43,231,3,664,,,2021-07-12 11:20:00,316.60
44,366,2,554,214,,2021-02-10 08:20:00,90.60
45,25,5,,,138,2021-06-23 03:30:00,27.10
46,473,8,,,66,2021-11-25 07:00:00,98.60
47,277,8,,,76,2021-11-19 03:10:00,115.90
48,917,8,,,72,2021-09-07 06:40:00,96.30
49,514,7,,,216,2021-07-05 03:00:00,84.40
50,790,6,,,124,2021-05-23 02:10:00,30.80
51,330,1,,994,,2021-12-20 12:10:00,17.00
52,324,3,554,,,2021-03-19 03:50:00,352.40
53,189,4,,,43,2021-08-03 04:50:00,1618.70
54,747,5,,,126,2021-12-10 08:20:00,24.50
55,843,1,,962,,2021-02-24 02:00:00,22.50
56,591,7,,,231,2021-08-21 03:20:00,93.70
57,637,3,391,,,2021-02-08 10:00:00,288.50
58,113,3,552,,,2021-01-22 01:20:00,140.80
59,185,5,,,126,2021-07-08 06:50:00,60.90
60,354,1,,506,,2021-12-05 11:20:00,20.10
61,929,8,,,69,2021-05-03 10:50:00,170.30
62,323,2,908,475,,2021-05-14 12:10:00,55.60
63,605,5,,,134,2021-07-20 03:40:00,52.30
64,403,3,422,,,2021-04-12 04:00:00,175.80
65,515,7,,,213,2021-02-08 10:50:00,67.50
66,898,3,341,,,2021-02-18 11:00:00,214.60
67,785,3,330,,,2021-02-23 09:10:00,276.80
68,592,2,398,20,,2021-12-06 03:50:00,116.90
69,560,8,,,91,2021-02-07 01:40:00,58.50
70,389,1,,105,,2021-05-17 08:00:00,22.10
71,401,8,,,60,2021-11-28 08:30:00,112.10
72,361,2,143,630,,2021-02-01 07:00:00,110.60
73,816,4,,,15,2021-08-17 04:10:00,406.50
74,788,2,979,671,,2021-08-28 12:30:00,119.30
75,512,8,,,66,2021-12-13 01:30:00,176.30
76,682,8,,,94,2021-03-02 10:50:00,143.80
77,314,6,,,,2021-04-03 07:30:00,30.80
78,617,6,,,101,2021-04-06 09:10:00,42.20
79,91,5,,,135,2021-07-01 11:00:00,41.40
80,35,3,662,,,2021-12-01 04:50:00,282.00
81,340,7,,,220,2021-06-28 09:00:00,94.10
82,585,2,883,456,,2021-06-27 05:10:00,66.00
83,802,8,,,70,2021-04-04 02:00:00,121.40
84,11,2,333,24,,2021-02-22 08:10:00,115.30
85,979,1,,362,,2021-04-13 01:40:00,14.50
86,534,6,,,115,2021-05-14 03:40:00,47.00
87,541,7,,,225,2021-10-27 03:40:00,102.40
88,695,4,,,7,2021-12-25 10:50:00,357.10
89,243,2,861,899,,2021-06-11 06:20:00,79.80
90,79,7,,,226,2021-04-10 01:20:00,53.50
91,398,4,,,32,2021-02-20 12:10:00,2146.70
92,291,8,,,55,2021-12-26 05:30:00,142.30
93,691,4,,,41,2021-05-15 01:00:00,152.00
94,893,5,,,116,2021-10-12 10:00:00,23.90
95,727,8,,,66,2021-04-25 07:40:00,91.40
96,181,4,,,28,2021-11-22 10:50:00,571.30
97,96,5,,,120,2021-07-18 09:30:00,59.70
98,880,2,278,552,,2021-12-09 03:00:00,76.40
99,167,6,,,147,2021-02-25 03:10:00,46.10
100,236,7,,,240,2021-08-18 04:50:00,62.40
101,415,3,601,,,2021-07-26 02:40:00,362.60
102,989,5,,,142,2021-01-02 06:00:00,25.20
103,379,8,,,73,2021-11-16 02:10:00,72.10
104,409,7,,,229,2021-07-18 05:00:00,53.90
105,161,5,,,133,2021-12-07 09:30:00,24.20
106,638,3,153,,,2021-05-08 04:40:00,81.80
107,946,6,,,,2021-05-23 01:00:00,31.50
108,973,8,,,61,2021-03-06 01:10:00,167.10
109,783,1,,433,,2021-09-27 05:30:00,16.90
110,203,8,,,76,2021-03-05 05:20:00,57.80
111,323,2,856,912,,2021-03-08 11:40:00,74.10
112,880,2,415,600,,2021-01-15 08:20:00,117.70
113,752,2,345,422,,2021-10-01 07:50:00,52.40
114,602,7,,,246,2021-03-16 01:00:00,73.60
115,969,6,,,,2021-01-04 03:50:00,47.50
116,383,3,257,,,2021-06-11 05:20:00,244.50
117,983,1,,102,,2021-09-23 11:30:00,22.10
